"DomainName","IP",":8091",":8092",":8093",":8094",":8095",":80",":8080"
"kernel.org","139.178.84.217","-","-","-","-","-","OK","-"
"google.com","142.251.1.138","-","-","-","-","-","OK","-"
"google.com","142.251.1.101","-","-","-","-","-","OK","-"
"google.com","142.251.1.139","-","-","-","-","-","OK","-"
"google.com","142.251.1.100","-","-","-","-","-","OK","-"
"google.com","142.251.1.102","-","-","-","-","-","OK","-"
"google.com","142.251.1.113","-","-","-","-","-","OK","-"
"yandex.ru","77.88.55.66","-","-","-","-","-","OK","-"
"yandex.ru","77.88.55.70","-","-","-","-","-","OK","-"
"yandex.ru","5.255.255.55","-","-","-","-","-","OK","-"
"yandex.ru","5.255.255.50","-","-","-","-","-","OK","-"
"twitch.tv","151.101.66.167","-","-","-","-","-","OK","-"
"twitch.tv","151.101.194.167","-","-","-","-","-","OK","-"
"twitch.tv","151.101.130.167","-","-","-","-","-","OK","-"
"twitch.tv","151.101.2.167","-","-","-","-","-","OK","-"
"twitter.com","127.0.0.1","-","-","-","-","-","-","-"
"microsoft.com","20.112.52.29","-","-","-","-","-","OK","-"
"microsoft.com","20.84.181.62","-","-","-","-","-","OK","-"
"microsoft.com","20.81.111.85","-","-","-","-","-","OK","-"
"microsoft.com","20.53.203.50","-","-","-","-","-","OK","-"
"microsoft.com","20.103.85.33","-","-","-","-","-","OK","-"
"facebook.com","127.0.0.1","-","-","-","-","-","-","-"
"vk.com","87.240.190.67","-","-","-","-","-","OK","-"
"vk.com","87.240.137.158","-","-","-","-","-","OK","-"
"vk.com","93.186.225.208","-","-","-","-","-","OK","-"
"vk.com","87.240.139.194","-","-","-","-","-","OK","-"
"vk.com","87.240.190.72","-","-","-","-","-","OK","-"
"vk.com","87.240.190.78","-","-","-","-","-","OK","-"
"ok.ru","217.20.155.13","-","-","-","-","-","OK","-"
"ok.ru","217.20.147.1","-","-","-","-","-","OK","-"
"ok.ru","5.61.23.11","-","-","-","-","-","OK","-"
"pikabu.ru","91.228.155.94","-","-","-","-","-","OK","-"
"pikabu.ru","5.187.1.183","-","-","-","-","-","OK","-"
"pikabu.ru","212.224.112.193","-","-","-","-","-","OK","-"
"pikabu.ru","5.187.0.134","-","-","-","-","-","OK","-"
"pikabu.ru","185.26.98.252","-","-","-","-","-","OK","-"
"pikabu.ru","185.26.99.7","-","-","-","-","-","OK","-"
"pikabu.ru","91.228.155.121","-","-","-","-","-","OK","-"
